"OSM_ID";"time";"Speed";"GPS.Bearing"
22778484;2013-07-02 18:27:27;6;0
22778484;2013-07-02 18:27:33;27;0
22778484;2013-07-02 18:27:39;48;0
22778484;2013-07-02 18:27:45;48;0
22778484;2013-07-02 18:27:51;36;0
22778484;2013-07-02 18:27:57;17;0
22778484;2013-07-02 18:28:03;60;0
22778484;2013-07-02 18:28:09;59;0
22778484;2013-07-02 18:28:15;61;0
22778484;2013-07-02 18:28:21;60;0
22778483;2013-07-02 18:28:28;62;0
22778483;2013-07-02 18:28:34;58;0
22778483;2013-07-02 18:28:40;58;0
22778483;2013-07-02 18:28:46;53;0
33712915;2013-07-02 18:28:52;55;0
33712915;2013-07-02 18:28:58;43;0
38049789;2013-07-02 18:29:04;54;0
38049789;2013-07-02 18:29:10;33;0
302863390;2013-07-02 18:29:16;47;0
302863390;2013-07-02 18:29:22;45;0
220471886;2013-07-02 18:29:28;36;0
4064476;2013-07-02 18:29:35;27;0
4064476;2013-07-02 18:29:41;41;0
220471885;2013-07-02 18:29:47;47;0
214773824;2013-07-02 18:29:53;50;0
160432420;2013-07-02 18:29:59;57;0
34428180;2013-07-02 18:30:05;58;0
130061346;2013-07-02 18:30:11;55;0
47916315;2013-07-02 18:30:17;59;0
12687078;2013-07-02 18:30:23;59;0
12687078;2013-07-02 18:30:29;60;0
5967589;2013-07-02 18:30:35;54;0
5967589;2013-07-02 18:30:42;38;0
5967589;2013-07-02 18:30:48;18;0
5967589;2013-07-02 18:30:54;44;0
5967589;2013-07-02 18:31:00;51;0
5967589;2013-07-02 18:31:06;37;0
32024584;2013-07-02 18:31:12;40;0
23209484;2013-07-02 18:31:18;19;0
23209485;2013-07-02 18:32:01;2;0
23209484;2013-07-02 18:32:07;12;0
23209484;2013-07-02 18:32:13;21;0
82668813;2013-07-02 18:32:19;31;0
10631607;2013-07-02 18:32:25;39;0
12342543;2013-07-02 18:32:31;40;0
12342543;2013-07-02 18:32:37;42;0
251965867;2013-07-02 18:32:43;40;0
12342543;2013-07-02 18:32:49;38;0
12342543;2013-07-02 18:32:55;4;0
82669143;2013-07-02 18:33:08;31;0
4985978;2013-07-02 18:33:14;36;0
120926574;2013-07-02 18:33:20;38;0
10191731;2013-07-02 18:33:26;38;0
204256069;2013-07-02 18:33:32;36;0
28610334;2013-07-02 18:33:38;38;0
5029733;2013-07-02 18:33:44;29;0
4985982;2013-07-02 18:33:50;33;0
12342583;2013-07-02 18:33:56;41;0
12342583;2013-07-02 18:34:02;38;0
172095061;2013-07-02 18:34:08;39;0
175499045;2013-07-02 18:34:15;42;0
175499045;2013-07-02 18:34:21;46;0
142321937;2013-07-02 18:34:27;42;0
47919748;2013-07-02 18:34:33;35;0
47918065;2013-07-02 18:34:39;23;0
5189969;2013-07-02 18:34:45;17;0
183218050;2013-07-02 18:34:51;26;0
183218050;2013-07-02 18:34:57;39;0
183218050;2013-07-02 18:35:03;3;0
183218050;2013-07-02 18:35:22;10;0
183218050;2013-07-02 18:35:28;37;0
183218050;2013-07-02 18:35:34;19;0
183218050;2013-07-02 18:36:16;30;0
183218050;2013-07-02 18:36:23;45;0
183218050;2013-07-02 18:36:29;44;0
183218050;2013-07-02 18:36:35;42;0
183218050;2013-07-02 18:36:41;43;0
183218050;2013-07-02 18:36:47;38;0
183218050;2013-07-02 18:36:53;43;0
183218050;2013-07-02 18:36:59;44;0
183218050;2013-07-02 18:37:05;44;0
183218050;2013-07-02 18:37:11;44;0
183218050;2013-07-02 18:37:17;45;0
183218050;2013-07-02 18:37:23;43;0
183218050;2013-07-02 18:37:29;28;0
183218050;2013-07-02 18:37:48;32;0
183218050;2013-07-02 18:37:54;44;0
183218050;2013-07-02 18:38:00;42;0
183218050;2013-07-02 18:38:06;43;0
183218050;2013-07-02 18:38:12;45;0
183218050;2013-07-02 18:38:18;41;0
183218050;2013-07-02 18:38:24;34;0
183218050;2013-07-02 18:38:30;31;0
183218050;2013-07-02 18:38:36;16;0
183218050;2013-07-02 18:38:42;15;0
183218050;2013-07-02 18:38:49;11;0
183218050;2013-07-02 18:38:55;16;0
183218050;2013-07-02 18:39:01;17;0
183218050;2013-07-02 18:39:07;17;0
183218050;2013-07-02 18:39:13;21;0
183218050;2013-07-02 18:39:19;9;0
183218050;2013-07-02 18:39:25;2;0
183218050;2013-07-02 18:39:31;2;0
183218050;2013-07-02 18:39:37;6;0
183218050;2013-07-02 18:39:43;24;0
183218050;2013-07-02 18:39:49;23;0
183218050;2013-07-02 18:39:56;18;0
183218050;2013-07-02 18:40:02;10;0
183218050;2013-07-02 18:40:08;7;0
183218050;2013-07-02 18:40:14;6;0
183218050;2013-07-02 18:40:20;2;0
183218050;2013-07-02 18:40:26;2;0
183218050;2013-07-02 18:40:32;1;0
183218050;2013-07-02 18:40:38;1;0
183218050;2013-07-02 18:40:44;1;0
24252160;2013-07-02 06:05:05;2;0
24252160;2013-07-02 06:05:11;4;0
24252160;2013-07-02 06:05:17;28;0
24252162;2013-07-02 06:05:23;11;0
24252162;2013-07-02 06:05:29;9;0
24252162;2013-07-02 06:05:36;24;0
24252162;2013-07-02 06:05:42;55;0
24252162;2013-07-02 06:05:48;55;0
24252162;2013-07-02 06:05:54;58;0
24252162;2013-07-02 06:06:00;32;0
24252162;2013-07-02 06:06:06;68;0
293797100;2013-07-02 06:06:12;75;0
293797100;2013-07-02 06:06:18;76;0
293797100;2013-07-02 06:06:24;74;0
293797100;2013-07-02 06:06:30;1;0
293797100;2013-07-02 06:07:07;38;0
293797100;2013-07-02 06:07:13;36;0
293797100;2013-07-02 06:07:19;27;0
293797100;2013-07-02 06:07:25;40;0
293797100;2013-07-02 06:07:31;59;0
293797100;2013-07-02 06:07:37;55;0
293797100;2013-07-02 06:07:43;46;0
293797100;2013-07-02 06:07:50;53;0
293797100;2013-07-02 06:07:56;64;0
293797100;2013-07-02 06:08:02;67;0
293797100;2013-07-02 06:08:08;66;0
293797100;2013-07-02 06:08:14;68;0
293797100;2013-07-02 06:08:20;73;0
293797100;2013-07-02 06:08:26;70;0
293797100;2013-07-02 06:08:32;64;0
293797100;2013-07-02 06:08:38;63;0
293797100;2013-07-02 06:08:44;66;0
293797100;2013-07-02 06:08:50;61;0
293797100;2013-07-02 06:08:56;64;0
293797100;2013-07-02 06:09:03;71;0
293797100;2013-07-02 06:09:09;65;0
